port_of_lading,lat,lng
"Aabenraa, Denmark",55.0362,9.418
"Aalborg, Denmark",57.0337,9.9166
"Aarhus, Denmark",56.1572,10.2107
"Aberdeen, United Kingdom",57.15,-2.11
"Acajutla, El Salvador",13.59,-89.8336
"Adelaide, Australia",-34.9275,138.6
"Aden, Yemen",12.8,45.0333
"Agadir, Morocco",30.4214,-9.5831
"Aioi, Japan",34.8,134.4667
"Algeciras, Spain",36.1275,-5.4539
"Alicante, Spain",38.3453,-0.4831
"Amagasaki, Japan",34.7333,135.4
"Amsterdam, Netherlands",52.3728,4.8936
"Ancona, Italy",43.6167,13.5167
"Antofagasta, Chile",-23.65,-70.4
"Arica, Chile",-18.4784,-70.3212
"Ashdod, Israel",31.7978,34.6503
"Auckland, New Zealand",-36.8492,174.7653
"Augusta, Italy",37.2303,15.2194
"Aveiro, Portugal",40.6389,-8.6553
"Bangkok, Thailand",13.7525,100.4942
"Barahona, Dominican Republic",18.2079,-71.0996
"Bari, Italy",41.1253,16.8667
"Barletta, Italy",41.3167,16.2833
"Batangas, Philippines",13.83,121.0
"Beira, Mozambique",-19.8333,34.85
"Belfast, United Kingdom",54.5967,-5.93
"Bilbao, Spain",43.2569,-2.9236
"Bitung, Indonesia",1.4472,125.1978
"Boca Chica, Dominican Republic",18.4539,-69.6064
"Bordeaux, France",44.84,-0.58
"Brest, France",48.39,-4.49
"Bridgetown, Barbados",13.0969,-59.6131
"Brindisi, Italy",40.6383,17.9458
"Brisbane, Australia",-27.4678,153.0281
"Bristol, United Kingdom",51.4536,-2.5975
"Buchanan, Liberia",5.8808,-10.0467
"Buenaventura, Colombia",3.8772,-77.0267
"Buenos Aires, Argentina",-34.6036,-58.3814
"Bunbury, Australia",-33.3272,115.6369
"Burgas, Bulgaria",42.503,27.4702
"Burnie, Australia",-41.0636,145.8753
"Butterworth, Malaysia",5.4171,100.4
"Cagayan de Oro, Philippines",8.48,124.65
"Cagliari, Italy",39.2167,9.1167
"Calais, France",50.9481,1.8564
"Caldera, Chile",-27.0667,-70.8333
"Caleta Olivia, Argentina",-46.4333,-67.5333
"Callao, Peru",-12.0522,-77.1392
"Campana, Argentina",-34.1667,-58.9167
"Campeche, Mexico",19.85,-90.5306
"Cape Town, South Africa",-33.9253,18.4239
"Casablanca, Morocco",33.5333,-7.5833
"Catania, Italy",37.5027,15.0873
"Cherbourg, France",49.63,-1.62
"Chioggia, Italy",45.2189,12.2785
"Christchurch, New Zealand",-43.5311,172.6361
"Civitavecchia, Italy",42.1,11.8
"Corinto, Nicaragua",12.4833,-87.1833
"Cotonou, Benin",6.3667,2.4333
"Dakar, Senegal",14.6726,-17.432
"Dar es Salaam, Tanzania",-6.8161,39.2803
"Davao, Philippines",7.07,125.6
"Djibouti, Djibouti",11.5944,43.1481
"Doha, Qatar",25.2867,51.5333
"Dordrecht, Netherlands",51.7958,4.6783
"Dover, United Kingdom",51.1295,1.3089
"Dublin, Ireland",53.3497,-6.2603
"Dumai, Indonesia",1.6667,101.45
"East London, South Africa",-33.0175,27.9047
"Ensenada, Mexico",31.8578,-116.6058
"Esbjerg, Denmark",55.467,8.45
"Falmouth, United Kingdom",50.15,-5.07
"Fawley, United Kingdom",50.828,-1.352
"Ferrol, Spain",43.4844,-8.2328
"Fredericia, Denmark",55.5758,9.7617
"Frederikshavn, Denmark",57.4337,10.5333
"Fredrikstad, Norway",59.2181,10.9298
"Freetown, Sierra Leone",8.4833,-13.2331
"Fukuyama, Japan",34.4858,133.3622
"Gdynia, Poland",54.5175,18.54
"Geelong, Australia",-38.15,144.35
"Georgetown, Guyana",6.8011,-58.155
"Geraldton, Australia",-28.7744,114.6089
"Gibraltar, Gibraltar",36.14,-5.35
"Gioia Tauro, Italy",38.4333,15.9
"Giresun, Turkey",40.9153,38.3894
"Gladstone, Australia",-23.8427,151.2555
"Glasgow, United Kingdom",55.8611,-4.25
"Gothenburg, Sweden",57.7075,11.9675
"Grangemouth, United Kingdom",56.012,-3.717
"Greenock, United Kingdom",55.95,-4.765
"Guayaquil, Ecuador",-2.19,-79.8875
"Guaymas, Mexico",27.9183,-110.8933
"Hachinohe, Japan",40.5123,141.4884
"Haifa, Israel",32.8192,34.9992
"Haiphong, Vietnam",20.8651,106.6838
"Haldia, India",22.0667,88.0698
"Halmstad, Sweden",56.6718,12.8556
"Hamilton, Bermuda",32.2942,-64.7819
"Hamina, Finland",60.5667,27.2
"Hartlepool, United Kingdom",54.69,-1.21
"Helsingborg, Sweden",56.0424,12.721
"Helsinki, Finland",60.1708,24.9375
"Hiroshima, Japan",34.3914,132.4519
"Hobart, Australia",-42.8806,147.325
"Hong Kong, Hong Kong",22.3,114.2
"Huasco, Chile",-28.4664,-71.2192
"Iligan, Philippines",8.23,124.25
"Ilo, Peru",-17.6459,-71.3453
"Imbituba, Brazil",-28.24,-48.67
"Immingham, United Kingdom",53.6139,-0.2183
"Iquique, Chile",-20.2167,-70.15
"Isla Mujeres, Mexico",21.2333,-86.7333
"Ismailia, Egypt",30.5833,32.2667
"Istanbul, Turkey",41.0136,28.955
"Itacoatiara, Brazil",-3.1428,-58.4439
"Iztapa, Guatemala",13.9331,-90.7075
"Jaffna, Sri Lanka",9.6647,80.0167
"Jambi, Indonesia",-1.59,103.61
"Kagoshima, Japan",31.5969,130.5572
"Kalundborg, Denmark",55.682,11.1004
