port_of_lading,containers_2019,containers_2020,container_change,lat,lng
"Aabenraa,Denmark",44,0,-44,55.0362,9.418
"Aalborg,Denmark",10070,1213,-8857,57.0337,9.9166
"Aarhus,Denmark",387675,1248,-386427,56.1572,10.2107
"Aberdeen,United Kingdom",8766,148888,140122,57.15,-2.11
"Acajutla,El Salvador",6728402,557101,-6171301,13.59,-89.8336
"Adelaide,Australia",23227269,3614790,-19612479,-34.9275,138.6
"Aden,Yemen",259,2650,2391,12.8,45.0333
"Agadir,Morocco",18139421,3771695,-14367726,30.4214,-9.5831
"Aioi,Japan",4973,1900,-3073,34.8,134.4667
"Algeciras,Spain",137365143,18,-137365125,36.1275,-5.4539
"Alicante,Spain",2458,15,-2443,38.3453,-0.4831
"Amagasaki,Japan",52,1165,1113,34.7333,135.4
"Amsterdam,Netherlands",729,65333,64604,52.3728,4.8936
"Ancona,Italy",54582,35743,-18839,43.6167,13.5167
"Antofagasta,Chile",47320,3,-47317,-23.65,-70.4
"Arica,Chile",344527,920,-343607,-18.4784,-70.3212
"Ashdod,Israel",3573864,74095,-3499769,31.7978,34.6503
"Auckland,New Zealand",6442239,630,-6441609,-36.8492,174.7653
"Augusta,Italy",48378,52,-48326,37.2303,15.2194
"Aveiro,Portugal",511,1,-510,40.6389,-8.6553
"Bangkok,Thailand",1212241,2876,-1209365,13.7525,100.4942
"Barahona,Dominican Republic",7,167716,167709,18.2079,-71.0996
"Bari,Italy",108189,588,-107601,41.1253,16.8667
"Barletta,Italy",3,158875,158872,41.3167,16.2833
"Batangas,Philippines",7332,49,-7283,13.83,121.0
"Beira,Mozambique",12197,21,-12176,-19.8333,34.85
"Belfast,United Kingdom",22892,18,-22874,54.5967,-5.93
"Bilbao,Spain",345614,20,-345594,43.2569,-2.9236
"Bitung,Indonesia",14,2,-12,1.4472,125.1978
"Boca Chica,Dominican Republic",1,0,-1,18.4539,-69.6064
"Bordeaux,France",114,221289,221175,44.84,-0.58
"Brest,France",144,2,-142,48.39,-4.49
"Bridgetown,Barbados",1658027,57,-1657970,13.0969,-59.6131
"Brindisi,Italy",9,254,245,40.6383,17.9458
"Brisbane,Australia",1978735,829792,-1148943,-27.4678,153.0281
"Bristol,United Kingdom",15920,10403200,10387280,51.4536,-2.5975
"Buchanan,Liberia",0,61,61,5.8808,-10.0467
"Buenaventura,Colombia",7197906,100,-7197806,3.8772,-77.0267
"Buenos Aires,Argentina",10576645,3476,-10573169,-34.6036,-58.3814
"Bunbury,Australia",23,196312,196289,-33.3272,115.6369
"Burgas,Bulgaria",94286,124592,30306,42.503,27.4702
"Burnie,Australia",822,3381734,3380912,-41.0636,145.8753
"Butterworth,Malaysia",99,5,-94,5.4171,100.4
"Cagayan de Oro,Philippines",31660,4809,-26851,8.48,124.65
"Cagliari,Italy",241881,23616,-218265,39.2167,9.1167
"Calais,France",0,9,9,50.9481,1.8564
"Caldera,Chile",2932536,31720,-2900816,-27.0667,-70.8333
"Caleta Olivia,Argentina",10,74850511,74850501,-46.4333,-67.5333
"Callao,Peru",36334510,87521,-36246989,-12.0522,-77.1392
"Campana,Argentina",552782,67,-552715,-34.1667,-58.9167
"Campeche,Mexico",70,124,54,19.85,-90.5306
"Cape Town,South Africa",20392536,313,-20392223,-33.9253,18.4239
"Casablanca,Morocco",170384,230480,60096,33.5333,-7.5833
"Catania,Italy",109411,64,-109347,37.5027,15.0873
"Cherbourg,France",3,122539616,122539613,49.63,-1.62
"Chioggia,Italy",84,199770,199686,45.2189,12.2785
