identifier,master_bol_number,house_bol_number,sub_house_bol_number,voyage_number,bill_type_code,manifest_number,trade_update_date,run_date
201801010,EGLV003700239655,DFDSTPE0115294,,077E,House Bill,1,2017-01-24,2018-01-01
201801011,EGLV003700236923,DFDSTPE0115307,,077E,House Bill,1,2017-01-24,2018-01-01
201801012,EGLV003700239655,DFDSSTPE0116215,,077E,House Bill,1,2017-01-24,2018-01-01
201801013,EGLV003700240025,DFDSTPE0113481,,077E,House Bill,1,2017-01-25,2018-01-01
201801014,EGLV003700244063,DFDSTPE0115302,,077E,House Bill,1,2017-01-25,2018-01-01
201801015,EGLV003700236893,DFDSTPE0113614,,077E,House Bill,1,2017-01-25,2018-01-01
201801016,EGLV003700236915,DFDSTPE0114135,,077E,House Bill,1,2017-01-25,2018-01-01
201801017,EGLV003700236818,DFDSTPE0112529,,077E,House Bill,1,2017-01-25,2018-01-01
201801018,EGLV003700236893,DFDSTPE0113812,,077E,House Bill,1,2017-01-25,2018-01-01
201801019,EGLV003700239345,DFDSTPE0116319,,077E,House Bill,1,2017-01-25,2018-01-01
2018010110,EGLV003700236923,DFDSTPE0115735,,077E,House Bill,1,2017-01-25,2018-01-01
2018010111,EGLV003700236788,DFDSTPE0115514,,077E,House Bill,1,2017-01-25,2018-01-01
2018010112,EGLV003700239345,DFDSTPE0115305,,077E,House Bill,1,2017-01-25,2018-01-01
2018010113,EGLV003700236923,DFDSTPE0115738,,077E,House Bill,1,2017-01-25,2018-01-01
2018010114,EGLV003700239256,DFDSTPE0115743,,077E,House Bill,1,2017-01-25,2018-01-01
2018010115,EGLV003700236800,DFDSTPE0116068,,077E,House Bill,1,2017-01-25,2018-01-01
2018010116,EGLV003700236788,DFDSTPE0115513,,077E,House Bill,1,2017-01-25,2018-01-01
2018010117,EGLV003700236800,DFDSTPE0115736,,077E,House Bill,1,2017-01-25,2018-01-01
2018010118,EGLV003700244071,DFDSTPE0116063,,077E,House Bill,1,2017-01-25,2018-01-01
2018010119,EGLV003700239345,DFDSTPE0116076,,077E,House Bill,1,2017-01-25,2018-01-01
2018010120,EGLV003700236923,DFDSTPE0114325,,077E,House Bill,1,2017-01-25,2018-01-01
2018010121,EGLV003700244063,DFDSTPE0116117,,077E,House Bill,1,2017-01-25,2018-01-01
2018010122,EGLV003700236800,DFDSTPE0114834,,077E,House Bill,1,2017-01-25,2018-01-01
2018010123,EGLV003700239663,DFDSTPE0115412,,077E,House Bill,1,2017-01-28,2018-01-01
2018010124,EGLV003700236893,DFDSTPE0115804,,077E,House Bill,1,2017-01-25,2018-01-01
2018010125,EGLV003700236834,DFDSSEDC0000386,,077E,House Bill,1,2017-01-25,2018-01-01
2018010126,EGLV003700236893,DFDSTPE0116309,,077E,House Bill,1,2017-01-25,2018-01-01
2018010127,APLU011414921,,,00071,Master FROB,4,2017-12-18,2018-01-01
2018010128,APLU011414921,APLU300855457,,00071,House FROB,4,2017-12-18,2018-01-01
2018010129,APLU551047813,,,00109,Master Bill,4,2017-12-31,2018-01-01
2018010130,APLU060415370,,,00109,Master Bill,4,2017-12-31,2018-01-01
2018010131,SKMCSIEUPTA01,,,22,Regular Bill,,2017-12-30,2018-01-01
2018010132,OOLU2591189740,RLUSS02371607,,227,House Bill,1,2017-07-30,2018-01-01
2018010133,APLU060415405,,,00117,Master Bill,4,2017-12-31,2018-01-01
2018010134,HLCUSHA1707RGYN9,MBLTGX01707311,,025E,House Bill,1,2017-08-07,2018-01-01
2018010135,HLCUSHA1707MRFK1,MBLTGX01707318,,025E,House Bill,1,2017-08-07,2018-01-01
2018010136,HLCUSHA1707RHCM0,MBLTGX01708122,,025E,House Bill,1,2017-08-07,2018-01-01
2018010137,HLCUSHA1707MRCW8,MBLTGX01708116,,025E,House Bill,1,2017-08-08,2018-01-01
2018010138,HLCUSHA1707MRCR2,MBLTGX01708140,,025E,House Bill,1,2017-08-08,2018-01-01
2018010139,HLCUSHA1707MRFT0,MBLTGX01708141,,025E,House Bill,1,2017-08-08,2018-01-01
2018010140,HLCUSHA1707MRCU5,MBLTGX01708159,,025E,House Bill,1,2017-08-08,2018-01-01
2018010141,HLCUSHA1707MRCT4,MBLTGX01707265,,025E,House Bill,1,2017-08-08,2018-01-01
2018010142,APLU551047838,,,00235,Master Bill,4,2017-12-31,2018-01-01
2018010143,APLU551047883,ATGAMAAA2Z29280,,129S,House Bill,1,2017-09-09,2018-01-01
2018010144,APLU551047894,,,00121,Master Bill,4,2017-12-31,2018-01-01
2018010145,APLU551047893,,,00210,Master Bill,4,2017-12-31,2018-01-01
2018010146,APLU551047912,,,00133,Master BOL w/in-bond,4,2017-12-31,2018-01-01
2018010147,APLU800407948,,,00125,Master Bill,4,2017-12-31,2018-01-01
2018010148,APLU551047908,,,00133,Master BOL w/in-bond,4,2017-12-31,2018-01-01
2018010149,APLU551047923,,,00211,Master Bill,4,2017-12-31,2018-01-01
2018010150,EGLV101700077272,ATGAMAAA2Z29503,,129S,House Bill,1,2017-09-08,2018-01-01
2018010151,APLU551047883,,,00129,Master BOL w/in-bond,4,2017-12-31,2018-01-01
2018010152,APLU060465369,EXDO6630004200,,00210,House Bill,1,2017-10-15,2018-01-01
2018010153,APLU551047903,,,00137,Master Bill,4,2017-12-31,2018-01-01
2018010154,APLU800408339,,,00245,Master Bill,4,2017-12-31,2018-01-01
2018010155,HLCUSYD170912647,APLLSYD657456,,550N,House Bill,1,2017-09-15,2018-01-01
2018010156,APLU060415544,,,00141,Master Bill,4,2017-12-31,2018-01-01
2018010157,APLU750447811,EXDO61N0492389,,00210,House Bill,1,2017-10-11,2018-01-01
2018010158,APLU800408424,,,00249,Master Bill,4,2017-12-31,2018-01-01
2018010159,APLU551047967,,,00141,Master Bill,4,2017-12-31,2018-01-01
2018010160,APLU020222166,EXDO613017348,,00210,House Bill,1,2017-09-24,2018-01-01
2018010161,APLU551047968,ATGAMAAA2Z29715,,251E,House Bill,1,2017-10-23,2018-01-01
2018010162,APLU800408470,ATGAMAAA2Z29714,,251E,House Bill,1,2017-10-23,2018-01-01
2018010163,APLU800408430,ATGAMAAA2Z29713,,251E,House Bill,1,2017-10-23,2018-01-01
2018010164,APLU060415585,,,00141,Master Bill,4,2017-12-31,2018-01-01
2018010165,APLU551047968,,,00251,Master Bill,4,2017-12-31,2018-01-01
2018010166,APLU800408430,,,00251,Master Bill,4,2017-12-31,2018-01-01
2018010167,APLU104114905,EXDO6395230424,,00210,House Bill,1,2017-10-11,2018-01-01
2018010168,APLU104114908,EXDO6395229152,,00210,House Bill,1,2017-10-13,2018-01-01
2018010169,SUDUN7HKG026769X,,,745E,Master Bill,9626,2017-11-08,2018-01-01
2018010170,SUDUN7KSZ059894X,,,745E,Master Bill,9626,2017-11-08,2018-01-01
2018010171,APLU101099050,EXDO63E1097377,,00210,House Bill,1,2017-10-20,2018-01-01
2018010172,APLU750488495,EXDO61N0496624,,00210,House Bill,1,2017-10-10,2018-01-01
2018010173,APLU072097857,EXDO6731060784,,00210,House Bill,1,2017-10-21,2018-01-01
2018010174,NYKSMUMT45121300,PGSMNSPNYC41685,,255W,House Bill,1,2017-10-03,2018-01-01
2018010175,CMDUENA0110640,SRXV1718HOU04557,,267,House Bill,973995,2017-11-27,2018-01-01
2018010176,APLU072097856,EXDO6731060785,,00210,House Bill,1,2017-10-17,2018-01-01
2018010177,HLCUMEA170903113,PGSMNSPSTL41741,,255W,House Bill,1,2017-10-04,2018-01-01
2018010178,APLU551069362,PGSMNSPNEW41764,,255W,House Bill,1,2017-10-17,2018-01-01
2018010179,NYKSMUMT44957500,PGSMNSPNEW41811,,255W,House Bill,1,2017-10-05,2018-01-01
2018010180,NYKSMUMT44957500,PGSMMUMNYC13160,,255W,House Bill,1,2017-10-05,2018-01-01
2018010181,APLU551048006,,,00153,Master Bill,4,2017-12-31,2018-01-01
2018010182,APLU551047981,APLU300875296,,00141,House Bill,4,2017-12-31,2018-01-01
2018010183,APLU551047981,,,00141,Master BOL w/in-bond,4,2017-12-31,2018-01-01
2018010184,NYKSDELT29422300,PGSMNSPNYC41912,,255W,House Bill,1,2017-10-06,2018-01-01
2018010185,APLU551047999,,,00153,Master Bill,4,2017-12-31,2018-01-01
2018010186,APLU551047998,,,00253,Master Bill,4,2017-12-31,2018-01-01
2018010187,NYKSDELT29205200,PGSMNSPNYC41948,,255W,House Bill,1,2017-12-27,2018-01-01
