identifier,consignee_name,consignee_address_1,consignee_address_2,consignee_address_3,consignee_address_4,city,state_province,zip_code,country_code,contact_name,comm_number_qualifier,comm_number
201801010,EMHART TEKNOLOGIES LLC,395 ROBERTS ROAD,CAMPBELLSVILLE KY 42718,USA,,,,,,,,
201801011,FRANKLIN ELECTRIC,1301 W.STOVALL ROAD,WILBURTON OK 74578,USA,,,,,,,,
201801012,EMHART TEKNOLOGIES LLC,395 ROBERTS ROAD,CAMPBELLSVILLE KY 42718,USA,,,,,,,,
201801013,JOSEPH POLLAK CORPORATION,300 DAN ROAD,CANTON MA 02021,USA,,,,,,,,
201801014,DETECTOR ELECTORINCS CORP.,10901 LOUISIANA AVE,MINNEAPOLIS MN 55438,USA,,,,,,,,
201801015,S.P. RICHARDS COMPANY,REDISTRIBUTION CENTER,190 SELIG DRIVE,ATLANTA GA 30336,USA,,,,,,,
201801016,BALKAMP INC.,"1601 WHITAKER ROAD,",PLAINFIELD IN,USA,,,,,,,,
201801017,"BALKAMP, INC.",8915 SOUTH 4000 WEST,WEST JORDAN UT 84088,USA,,,,,,,,
201801018,DANFOSS TURBOCOR,1769 E. PAUL DIRAC DRIVE,TALLAHASSEE FL,USA,,,,,,,,
201801019,BRIGHTON COLLECTIBLES,14022 NELSON AVENUE,CITY OF INDUSTRY CA 91746,USA,,,,,,,,
2018010110,TRELLBORG SEALING SOLUTIONS,TSS LOGISTICS CENTER AMERICAS,5503 DISTRIBUTION DRIVE,FORT WAYNE IN 46825,USA,,,,,,,
2018010111,SHURE JUAREZ C/O PRO TRANS,12425 ROJAS DRIVE BUILDING 1,EL PASO TX 79928,USA,,,,,,,,
2018010112,BRIGHTON COLLECTIBLES,14022 NELSON AVENUE,CITY OF INDUSTRY CA 91746,USA,,,,,,,,
2018010113,TRELLBORG SEALING SOLUTIONS,TSS LOGISTICS CENTER AMERICAS,5503 DISTRIBUTION DRIVE,FORT WAYNE IN 46825,USA,,,,,,,
2018010114,"SAFARILAND, LLC",13386 INTERNATIONAL PARKWAY,JACKSONVILLE FL 32218,USA,,,,,,,,
2018010115,"AGS STAINLESS, INC.","7873 NE DAY ROAD,",BAINBRIDGE ISLAND WA 98110,USA,,,,,,,,
