identifier,container_number,seal_number_1,seal_number_2,equipment_description_code,container_length,container_height,container_width,container_type,load_status,type_of_service
201801010,FCIU9250931,EMCCES9186,,Container,4000,906,800,,Loaded,Container Station
201801011,EITU1595313,EMCCES9076,,Container,4000,906,802,4EB0,Loaded,Container Yard
201801012,FCIU9250931,EMCCES9186,,Container,4000,906,800,,Loaded,Container Station
201801013,BMOU5389685,EMCCES8776,,Container,0,0,0,,Loaded,
201801014,EMCU5289450,EMCCES8446,,Container,4000,900,800,45R1,Loaded,Container Yard
201801015,EMCU1425938,EMCCES9026,,40 ft. IL Container (Closed Top),0,0,0,,Loaded,
201801016,IMTU9063752,EMCCES9066,,40 ft. IL Container (Closed Top),0,0,0,,Loaded,Container Station
201801017,EMCU9900438,EMCBMW4905,,Container,0,0,0,,Loaded,Pier to Pier
201801018,EMCU1425938,EMCCES9026,,40 ft. IL Container (Closed Top),0,0,0,,Loaded,
201801019,EITU1276023,EMCCES9116,,Container,4000,900,800,45G0,Loaded,Container Yard
2018010110,EITU1595313,EMCCES9076,,Container,4000,906,802,4EB0,Loaded,Container Yard
2018010111,EITU1572724,EMCCES9036,,Container,4000,906,802,4EB0,Loaded,Container Yard
2018010112,EITU1276023,EMCCES9116,,Container,4000,900,800,45G0,Loaded,Container Yard
2018010113,EITU1595313,EMCCES9076,,Container,4000,906,802,4EB0,Loaded,Container Yard
2018010114,EMCU5303563,EMCCES9126,,Closed Container,0,0,0,,Loaded,Pier to Pier
2018010115,EITU1583863,EMCCES9056,,Closed Container,0,0,0,,Loaded,Pier to Pier
2018010116,EITU1572724,EMCCES9036,,Container,4000,906,802,4EB0,Loaded,Container Yard
2018010117,EITU1583863,EMCCES9056,,Closed Container,0,0,0,,Loaded,Pier to Pier
2018010118,EMCU5256923,EMCCES8456,,Refrigerated Container,4000,806,800,42R0,Loaded,Container Station
2018010119,EITU1276023,EMCCES9116,,Container,4000,900,800,45G0,Loaded,Container Yard
2018010120,EITU1595313,EMCCES9076,,Container,4000,906,802,4EB0,Loaded,Container Yard
2018010121,EMCU5289450,EMCCES8446,,Container,4000,900,800,45R1,Loaded,Container Yard
2018010122,EITU1583863,EMCCES9056,,Closed Container,0,0,0,,Loaded,Pier to Pier
2018010123,TEMU6045245,F2364453,,Closed Container,0,0,0,,Loaded,Pier to Pier
2018010124,EMCU1425938,EMCCES9026,,40 ft. IL Container (Closed Top),0,0,0,,Loaded,
2018010125,EITU1814685,EMCBMW4915,,Container,4000,900,800,45G0,Loaded,Container Yard
2018010126,EMCU1425938,EMCCES9026,,40 ft. IL Container (Closed Top),0,0,0,,Loaded,
2018010127,TGHU0209174,AK60056274,,Container,2000,806,800,22G0,Loaded,Container Yard
2018010128,TGHU0209174,AK60056274,,Container,2000,806,800,22G0,Loaded,Container Yard
2018010129,GESU1188350,AI20018899,,Container,2000,806,800,22G0,Loaded,Container Yard
2018010130,TRLU3909530,AI40044424,,Container,2000,806,800,22G0,Loaded,Container Yard
2018010131,NC,,,,0,0,0,,Loaded,
2018010132,TCLU8471480,OOLDXL8436,,High Cube Van,4000,900,800,45G0,Loaded,Container Station
2018010133,APZU3612293,AI40044425,,Container,2000,806,800,22G0,Loaded,Container Yard
2018010134,TCKU1840486,HLD4193470,,Closed Container,0,0,0,,Loaded,Pier to Pier
