identifier,carrier_code,vessel_country_code,vessel_name,port_of_unlading,estimated_arrival_date,foreign_port_of_lading_qualifier,foreign_port_of_lading,manifest_quantity,manifest_unit,weight,weight_unit,measurement,measurement_unit,record_status_indicator,place_of_receipt,port_of_destination,foreign_port_of_destination_qualifier,foreign_port_of_destination,conveyance_id_qualifier,conveyance_id,in_bond_entry_type,mode_of_transportation,secondary_notify_party_1,secondary_notify_party_2,secondary_notify_party_3,secondary_notify_party_4,secondary_notify_party_5,secondary_notify_party_6,secondary_notify_party_7,secondary_notify_party_8,secondary_notify_party_9,secondary_notify_party_10,actual_arrival_date
201801010,DFDS,GB,EVER SIGMA,"Los Angeles, California",2017-02-14,Schedule K Foreign Port,"Kaohsiung,China (Taiwan)",21,CTN,183,Kilograms,0,,New,KAOHSIUNG TAIWAN,,,,IMO Number/Lloyds Number,9300398,,"Vessel, containerized",EGLV,,,,,,,,,,2017-02-15
201801011,DFDS,GB,EVER SIGMA,"Los Angeles, California",2017-02-14,Schedule K Foreign Port,"Kaohsiung,China (Taiwan)",3,CAS,1096,Kilograms,0,,New,TAOYUAN TAIWAN,,,,IMO Number/Lloyds Number,9300398,,"Vessel, containerized",EGLV,,,,,,,,,,2017-02-15
201801012,DFDS,GB,EVER SIGMA,"Los Angeles, California",2017-02-14,Schedule K Foreign Port,"Kaohsiung,China (Taiwan)",59,CTN,758,Kilograms,0,,New,KAOHSIUNG TAIWAN,,,,IMO Number/Lloyds Number,9300398,,"Vessel, containerized",EGLV,,,,,,,,,,2017-02-15
201801013,DFDS,GB,EVER SIGMA,"Los Angeles, California",2017-02-14,Schedule K Foreign Port,"Kaohsiung,China (Taiwan)",168,CTN,2050,Kilograms,0,,New,TAOYUAN TAIWAN,,,,IMO Number/Lloyds Number,9300398,,"Vessel, containerized",EGLV,,,,,,,,,,2017-02-15
201801014,DFDS,GB,EVER SIGMA,"Los Angeles, California",2017-02-14,Schedule K Foreign Port,"Kaohsiung,China (Taiwan)",9,CTN,149,Kilograms,0,,New,TAOYUAN TAIWAN,,,,IMO Number/Lloyds Number,9300398,,"Vessel, containerized",EGLV,,,,,,,,,,2017-02-15
201801015,DFDS,GB,EVER SIGMA,"Los Angeles, California",2017-02-14,Schedule K Foreign Port,"Kaohsiung,China (Taiwan)",224,CTN,2540,Kilograms,0,,New,TAICHUNG TAIWAN,,,,IMO Number/Lloyds Number,9300398,,"Vessel, containerized",EGLV,,,,,,,,,,2017-02-15
201801016,DFDS,GB,EVER SIGMA,"Los Angeles, California",2017-02-14,Schedule K Foreign Port,"Kaohsiung,China (Taiwan)",95,CTN,2173,Kilograms,0,,New,TAICHUNG TAIWAN,,,,IMO Number/Lloyds Number,9300398,,"Vessel, containerized",EGLV,,,,,,,,,,2017-02-15
201801017,DFDS,GB,EVER SIGMA,"Los Angeles, California",2017-02-14,Schedule K Foreign Port,"Kaohsiung,China (Taiwan)",349,CTN,5911,Kilograms,0,,New,TAOYUAN TAIWAN,,,,IMO Number/Lloyds Number,9300398,,"Vessel, containerized",EGLV,,,,,,,,,,2017-02-15
201801018,DFDS,GB,EVER SIGMA,"Los Angeles, California",2017-02-14,Schedule K Foreign Port,"Kaohsiung,China (Taiwan)",20,CTN,182,Kilograms,0,,New,TAICHUNG TAIWAN,,,,IMO Number/Lloyds Number,9300398,,"Vessel, containerized",EGLV,,,,,,,,,,2017-02-15
201801019,DFDS,GB,EVER SIGMA,"Los Angeles, California",2017-02-14,Schedule K Foreign Port,"Kaohsiung,China (Taiwan)",2,CTN,17,Kilograms,0,,New,TAICHUNG TAIWAN,,,,IMO Number/Lloyds Number,9300398,,"Vessel, containerized",EGLV,,,,,,,,,,2017-02-15
2018010110,DFDS,GB,EVER SIGMA,"Los Angeles, California",2017-02-14,Schedule K Foreign Port,"Kaohsiung,China (Taiwan)",93,CTN,779,Kilograms,0,,New,TAOYUAN TAIWAN,,,,IMO Number/Lloyds Number,9300398,,"Vessel, containerized",EGLV,,,,,,,,,,2017-02-15
2018010111,DFDS,GB,EVER SIGMA,"Los Angeles, California",2017-02-14,Schedule K Foreign Port,"Kaohsiung,China (Taiwan)",83,CTN,802,Kilograms,0,,New,TAOYUAN TAIWAN,,,,IMO Number/Lloyds Number,9300398,,"Vessel, containerized",EGLV,,,,,,,,,,2017-02-15
2018010112,DFDS,GB,EVER SIGMA,"Los Angeles, California",2017-02-14,Schedule K Foreign Port,"Kaohsiung,China (Taiwan)",17,CTN,186,Kilograms,0,,New,TAICHUNG TAIWAN,,,,IMO Number/Lloyds Number,9300398,,"Vessel, containerized",EGLV,,,,,,,,,,2017-02-15
2018010113,DFDS,GB,EVER SIGMA,"Los Angeles, California",2017-02-14,Schedule K Foreign Port,"Kaohsiung,China (Taiwan)",28,CTN,162,Kilograms,0,,New,TAOYUAN TAIWAN,,,,IMO Number/Lloyds Number,9300398,,"Vessel, containerized",EGLV,,,,,,,,,,2017-02-15
2018010114,DFDS,GB,EVER SIGMA,"Los Angeles, California",2017-02-14,Schedule K Foreign Port,"Kaohsiung,China (Taiwan)",12,BAL,359,Kilograms,0,,New,KAOHSIUNG TAIWAN,,,,IMO Number/Lloyds Number,9300398,,"Vessel, containerized",EGLV,,,,,,,,,,2017-02-15
2018010115,DFDS,GB,EVER SIGMA,"Los Angeles, California",2017-02-14,Schedule K Foreign Port,"Kaohsiung,China (Taiwan)",5,CTN,100,Kilograms,0,,New,TAOYUAN TAIWAN,,,,IMO Number/Lloyds Number,9300398,,"Vessel, containerized",EGLV,,,,,,,,,,2017-02-15
2018010116,DFDS,GB,EVER SIGMA,"Los Angeles, California",2017-02-14,Schedule K Foreign Port,"Kaohsiung,China (Taiwan)",170,CTN,1654,Kilograms,0,,New,KAOHSIUNG TAIWAN,,,,IMO Number/Lloyds Number,9300398,,"Vessel, containerized",EGLV,,,,,,,,,,2017-02-15
2018010117,DFDS,GB,EVER SIGMA,"Los Angeles, California",2017-02-14,Schedule K Foreign Port,"Kaohsiung,China (Taiwan)",22,CTN,208,Kilograms,0,,New,TAOYUAN TAIWAN,,,,IMO Number/Lloyds Number,9300398,,"Vessel, containerized",EGLV,,,,,,,,,,2017-02-15
2018010118,DFDS,GB,EVER SIGMA,"Los Angeles, California",2017-02-14,Schedule K Foreign Port,"Kaohsiung,China (Taiwan)",90,BOX,1728,Kilograms,0,,New,TAICHUNG TAIWAN,,,,IMO Number/Lloyds Number,9300398,,"Vessel, containerized",EGLV,,,,,,,,,,2017-02-15
2018010119,DFDS,GB,EVER SIGMA,"Los Angeles, California",2017-02-14,Schedule K Foreign Port,"Kaohsiung,China (Taiwan)",3,CTN,24,Kilograms,0,,New,TAICHUNG TAIWAN,,,,IMO Number/Lloyds Number,9300398,,"Vessel, containerized",EGLV,,,,,,,,,,2017-02-15
