identifier,notify_party_name,notify_party_address_1,notify_party_address_2,notify_party_address_3,notify_party_address_4,city,state_province,zip_code,country_code,contact_name,comm_number_qualifier,comm_number
2018010127,PANTOS LOGISTICS CANADA INC.,105 QUEENS PLATE DR UNIT,2ETOBICOKE ONTARIO M9W 7K4,TEL. 647 352-9243 FAX. 647 352-92,,,,,,,,
2018010128,GB PLASTIQUE INCE,"8023, RUE JARRY EST H1J 1H6",ANJOU QUEBEC CANADA CA,TEL 514 353 1336,,,,,,,Telephone Number,ATTN MR. JOE DE LUCA
2018010131,BP PRODUCTS NORTH AMERICA INC,301 E OCEAN BLVD 500 LONG BEACH,CA 90802 USA,,,,,,,,,
2018010132,"ZURN INDUSTRIES,LLC",3690 JURUPA ST,ONTARIO CA 91761,ONTARIO CA 91761 US,,,,,,,,
2018010155,URBAN ORIGINALS LLC,"SUITE 140, 21 NATOMA ST",FOLSOM CA 95630,USA,,,,,,,,
2018010159,AISHWARYA LOGISTICS,"4-24, SELLERS ST","KEARNY ,NJ 07032, USA",PH 201 955 9181 FAX 201 955 9185,,,,,,,,
2018010169,SEKO WORLDWIDE LLC - JFK,230-59 INTERNATIONAL AIRPORT,JAMAICA NY 11413 UNITED STATES,,,CENTER BLVD SUITE 1,NY,11413,US,,,
2018010170,DIRECT SERVICE INC.,"1209 JOHN REED COURT,",TEL:(626)956-8000 FAX:(626)956,,,"CITY OF INDUSTRY,CA",CA,91745,US,,,
2018010174,RIDHI SIDHI ENTERPRISES LLC,262 W 38TH STREET; SUITE NO 506,NEW YORK NY 10018,USA,,,,,,,,
2018010177,FW WAREHOUSING -MJ RESURRECTION,3700 CLEON STREET,SAINT LOUIS MO 63118,USA,,,,,,,,
2018010178,GENERICHEM CORPORATION,"5 TAFT ROAD,",TOTOWA NJ 07511-0457,USA,,,,,,,,
2018010179,SAM HEDAYA INC,295 5TH AVE SUIT 302,NEW YORK NY 10016,USA,,,,,,,,
2018010180,SAM HEDAYA INC,295 5TH AVE SUIT 302,NEW YORK NY 10016,USA,,,,,,,,
2018010182,ENCORE SHIPPING INC,125 E LAKE ST SUITE 204,BLOOMINGDALE IL 60108,PH 630 893 8700 FAX 630 893 8787,,,,,,,,
2018010183,ENCORE SHIPPING INC,125 E LAKE ST SUITE 204,BLOOMINGDALE IL 60108,PH 630 893 8700 FAX 630 893 8787,,,,,,,,
2018010184,VERTEX LOGISTICS INC.,105 ROCK HILL ROAD,ROCHESTER NY 14618,USA,,,,,,,,
2018010187,DEALS WHOLESALES CORP,ONE PASSAIC ST UNIT 76S,WOODRIDGE NJ 07075,USA,,,,,,,,
2018010197,BINEX LINE CORP. - CHICAGO,2700 COYLE AVE.,"ELK GROVE VILLAGE, IL 60007",TEL:847-952-1600 EXT.102,,1-7863910009,,,,,,
20180101101,LOGISTICS PAN-AMERICA CORP.,177-25 ROCKAWAY BLVD.#217 JAMAICA,NY 11434,TEL : 001-718-632-7888,,1-7186327888 TEL,EX,1-718632,87,,,
20180101111,"SHIP OVERSEAS, INC","6215 FERRIS SQUARE, SUITE 150","SAN DIEGO, UNITED STATES",PH:858-451-7282,,,,,,,,
20180101112,DARTRANS INC.,6610 TRIBUTARY STREET SUITE 101,"BALTIMORE, MD 21224 U.S.A.",PH.: 410-633-4450 EXT 105,,,,,,,,
20180101118,VASINEE FOOD CORPORATION,"1247 GRAND STREET,",BROOKLYN,"NY,11211,US",,,,,,,,
20180101119,SINO PACIFIC CUSTOMS BROKERAGE INC.,170 DUANE STREET 2C,NEW YORK NY 10013 UNITED STATES,,,,,,,,,
20180101120,PRIDE INTERNATIONAL,"2200 BROENING HIGHWAY, SUITE 230","BALTIMORE, MD 21224",ATTN.: KATRINA OR CINDY,,,,,,,Telephone Number,+1410-633-0033
20180101121,MRS.,RHEANNA SINNETT,1520 GORDON COVE DR.,"US ANNAPOLIS, MD 21403",,,,,,,Telephone Number,TEL: +01-443-852-1125
20180101122,MR. AND/OR MRS.,CARLOS AND/OR LUZ GUARDADO,1905 SOUTHRIDGE DR.,"US EDGEWOOD, MD. 21040",,,,,,,Telephone Number,TEL: +1-973-317-2993
20180101123,RANDALL S. WATKINS,214 GATESWOOD RD.,"21093 LUTHERVILLE/TIMOMIUM, MD",,,,,,,,,
20180101130,RTW LOGISTICS INC.,500 E CARSON PLAZA,"DR SUITE 218 CARSON, CA 90746, USA","TEL: (310) 237 5834,",,,,,,,Telephone Number,FAX: (310) 237 5836
20180101131,RTW LOGISTICS INC.,500 E CARSON PLAZA,"DR SUITE 218 CARSON, CA 90746, USA",TEL: (310) 237 5834,,,,,,,Telephone Number,FAX: (310) 237 5836
20180101132,RTW LOGISTICS INC,500 E CARSON PLAZA,"DR SUITE 218 CARSON, CA 90746, USA",TEL: (310) 237 5834,,,,,,,Telephone Number,FAX: (310) 237 5836
20180101133,RTW LOGISTICS INC,500 E CARSON PLAZA DR. SUITE 218,"CARSON, CA 90746",PHO:+1 310-237-5834,,,,,,,Telephone Number,FAX: +1 310-237-5836
20180101134,RTW LOGISTICS INC,500 E CARSON PLAZA,"DR SUITE 218 CARSON, CA 90746, USA",TEL: (310) 237 5834,,,,,,,Telephone Number,FAX: (310) 237 5836
20180101135,RTW LOGISTICS INC,500 E CARSON PLAZA DR. SUITE 218,"CARSON, CA 90746",PHO:+1 310-237-5834,,,,,,,Telephone Number,FAX: +1 310-237-5836
20180101137,WALTER KIDDE PORTABLE EQUIPMENT INC,1027 CORPORATE PARK DRIVE MEBANE N,C 27302 USA,,,,,,,,,
20180101138,SENTURY TIRE USA INC,"3121 NW 125TH STREET MIAMI,",FL 33167,MIAMI FL 33167 US,,,,,,,,
20180101140,COATING EXCELLENCE INTERNATIONAL,LLC 975 BROADWAY STREET,WRIGHTSTOWN WI 54180,USA,,,,,,,,
20180101141,COATING EXCELLENCE INTERNATIONAL,LLC 975 BROADWAY STREET,WRIGHTSTOWN WI 54180,USA,,,,,,,,
20180101142,COATING EXCELLENCE INTERNATIONAL,LLC 975 BROADWAY STREET,WRIGHTSTOWN WI 54180,USA,,,,,,,,
20180101143,COATING EXCELLENCE INTERNATIONAL,LLC 975 BROADWAY STREET,WRIGHTSTOWN WI 54180,USA,,,,,,,,
20180101145,COATING EXCELLENCE INTERNATIONAL,LLC 975 BROADWAY STREET,WRIGHTSTOWN WI 54180,USA,,,,,,,,
20180101148,GRANITE DEPOT OF NORTH FLORIDA LLC,2703 PHILIPS HIGHWAY,JACKSONVILLE FL 32207,USA,,,,,,,,
