identifier,shipper_party_name,shipper_party_address_1,shipper_party_address_2,shipper_party_address_3,shipper_party_address_4,city,state_province,zip_code,country_code,contact_name,comm_number_qualifier,comm_number
201801010,JET FAST COMPANY LIMITED,"NO.5 JWU GONG 2ND LANE,","JWU HO VILLAGE,REN WU HSIANG",KAOHSIUNG,TAIWAN,,,,,,,
201801011,UNION WONDERFUL MACHINERY LTD.,"NO.51-10 PEI TAO. PEI TAOLI,","TAMSUI DISTRICT,",NEW TAIPEI CITY,TAIWAN,,,,,,,
201801012,"SUMEEKO INDUSTRIES CO.,LTD.","NO.20 HUAXI RD., TA-FA INDUSTRIAL","DISTRICT,",KAOHSIUNG,TAIWAN,,,,,,,
201801013,YUTY INDUSTRIES CO. LTD.,"NO. 13, SUN PO ROAD, CHUNG-LI",TAOYUAN,TAIWAN,,,,,,,,
201801014,"BE SOUND CO., LTD.","1F, NO. 765 MIN-TSU EAST ROAD,",TAIPEI (TAIBEI),TAIWAN,,,,,,,,
201801015,CHERRY YEAR COMPANY LTD.C/O,CROWN VAST DEVELOPMENT LTD. NO.,"5 L10,TAAN KANG RD TACHIA CHEN,",TAICHUNG,TAIWAN,,,,,,,
201801016,"J&K INTERNATIONAL CO., LTD.","20, LANE 180, JING JUANG ST., TALI,",TAICHUNG,TAIWAN,,,,,,,,
201801017,"JIN DAI AUTO SUPPLIES CO., LTD.","NO. 35, DING TSAO ROAD, SEC. 4,","TSAO CHUNG LI,LUKANG",CHANG HWA,TAIWAN,,,,,,,
201801018,"EMS TECHNOLOGIES CO., LTD.","10F.-1, NO.241, SEC. 3, WUNSIN RD.,","SITUN DISTRICT,",TAICHUNG,TAIWAN,,,,,,,
201801019,ARCHBRIDGE ACCESSORIES CORP.,"NO. 1, ALLEY 45, LANE 53,","SIBEI ST., VILLAGE BAI-SHA, HUATAN",CHANGHUA,CHINA,,,,,,,
2018010110,"GE MAO RUBBER INDUSTRIAL CO., LTD.","NO. 15, KUNG-YEH EAST 4TH ROAD,","LU-KANG CHEN,",CHANGHUA,TAIWAN,,,,,,,
2018010111,MAXSON PRECISION TOOLING CORP.,"NO.13, LANE 514-33, CHUNG-CHENG ROA","HSINCHUANG DIST.,",NEW TAIPEI CITY 24202,TAIWAN,,,,,,,
2018010112,"KING RAY YENG INDUSTRY CO., LTD.","NO.27, ALLEY 27, LANE 194, CHANG-SH",CHANGHUA,TAIWAN,,,,,,,,
2018010113,"CHI-YIH ENTERPRISES CO., LTD.","NO.93, LANE 245, SEC. 3","SHA TIEN RD., TA-TU HSIANG",TAICHUNG,TAIWAN,,,,,,,
2018010114,"EVEREST TEXTILE CO., LTD.","2FL, NO.168, TUNG HWA NORTH ROAD,",TAIPEI,TAIWAN,,,,,,,,
2018010115,ALLWIN ARCHITECTURAL HARDWARE INC.,"12F-6, NO. 241, SEC 3, WENXIN RD,","XITUN DIST,",TAICHUNG 40753,TAIWAN,,,,,,,
2018010116,"DAEHUAN ELECTRONIC CO., LTD.","NO. 9, GONGYE 7TH RD.,","ANNAN DIST.,",TAINAN 70955,TAIWAN,,,,,,,
2018010117,"GE MAO RUBBER INDUSTRIAL CO., LTD.","NO. 15, KUNG-YEH EAST 4TH ROAD,","LU-KANG CHEN,",CHANGHUA,TAIWAN,,,,,,,
2018010118,"FOX FACTORY INC., TAIWAN BRANCH","NO.8, JINGKE 6TH RD.,",NANTUN DIST,TAICHUNG 40852,TAIWAN,,,,,,,
2018010119,JIINGI METAL INDUSTRIAL CO.,"NO.195 LUENMBI ROAD NANBI LI,",CHANGHUA,TAIWAN,,,,,,,,
2018010120,BESMED HEALTH BUSINESS CORP.,"NO. 5, LANE 116, WU KONG 2ND RD.,","WUGU DIST.,",NEW TAIPEI CITY 248,TAIWAN,,,,,,,
2018010121,UNICORN HOBBY CORPORATION,NO.82 RENHUA ST. SANCHONG CITY,TAIPEI 241,TAIWAN,,,,,,,,
