identifier,container_number,description_sequence_number,harmonized_number,harmonized_value,harmonized_weight,harmonized_weight_unit
2018010128,TGHU0209174,1,36,3280,16430,Kilograms
2018010169,SUDU8579238,1,8479,,5254,Kilograms
2018010170,SUDU8784361,1,93,2170,10880,Kilograms
20180101111,NC,1,8320,2,1300,Kilograms
20180101112,NC,1,8320,420,2130,Kilograms
20180101120,NC,1,8320,7,2036,Kilograms
20180101121,NC,1,8320,310,1595,Kilograms
20180101122,NC,1,8320,160,830,Kilograms
20180101123,NC,1,8320,7,1036,Kilograms
20180101186,TCLU4117483,1,2818,30,18540,Kilograms
20180101199,CMAU1269350,1,6221,5430,27165,Kilograms
20180101203,NYKU8312771,1,78,36,18250,Kilograms
20180101211,NC,1,85,8348,41742,Kilograms
20180101211,NC,2,85,8348,41742,Kilograms
20180101212,NC,1,84,050,50280,Kilograms
20180101213,APHU6724463,1,93,0,2192,Kilograms
20180101213,FCIU8827588,1,93,0,5014,Kilograms
20180101213,ECMU9782823,1,93,0,2830,Kilograms
20180101222,FSCU8817378,1,57,0,18886,Kilograms
20180101271,GATU8737858,1,846591,0,9622,Kilograms
20180101271,ECMU9384120,1,846591,0,8795,Kilograms
20180101275,NYKU9872467,1,7310,3956,19783,Kilograms
20180101279,MRKU8066409,1,10,535716,59524,Pounds
20180101279,MRKU9032614,1,10,535716,59524,Pounds
20180101279,MSKU2755090,1,10,535716,59524,Pounds
20180101279,MSKU7595077,1,10,535716,59524,Pounds
20180101279,MRKU9287580,1,10,535716,59524,Pounds
20180101280,PONU4803032,1,375,5308,59112,Pounds
20180101280,MNBU0241974,1,375,5308,59112,Pounds
20180101280,MNBU0009790,1,375,532998,59222,Pounds
20180101280,MNBU0237634,1,375,532422,59158,Pounds
20180101286,CBHU3707766,1,,0,1335,Kilograms
20180101319,CAIU3849518,1,6221,5350,26765,Kilograms
20180101330,GATU8639358,1,11,0,0,
20180101330,GATU8639358,1,11,0,0,
20180101330,GATU8639358,1,11,0,0,
20180101330,GATU8639358,1,11,0,0,
20180101330,GATU8639358,1,11,0,0,
20180101332,MRKU0251078,1,,0,15277,Kilograms
20180101334,SUDU7686680,1,88,2761,13807,Kilograms
20180101335,KKFU1861043,1,611595,9,2096,Kilograms
20180101335,KKFU1861043,1,611595,9,2096,Kilograms
20180101335,KKFU1861043,1,611595,9,2096,Kilograms
20180101335,KKFU1861043,1,611595,9,2096,Kilograms
20180101335,KKFU1861043,1,611595,9,2096,Kilograms
20180101335,KKFU1861043,1,611595,9,2096,Kilograms
20180101335,KKFU1861043,1,611595,9,2096,Kilograms
20180101335,KKFU1861043,1,611595,9,2096,Kilograms
20180101335,KKFU1861043,1,611595,9,2096,Kilograms
20180101335,KKFU1861043,1,611595,9,2096,Kilograms
20180101335,KKFU1861043,1,611595,9,2096,Kilograms
20180101341,TEMU3050823,1,6622,0,6020,Kilograms
20180101362,NYKU0705860,1,93,1770,8890,Kilograms
20180101390,EITU0216863,1,,0,25075,Kilograms
20180101390,EMCU6065032,1,,0,25075,Kilograms
20180101420,NYKU5194398,1,,0,5318,Kilograms
20180101425,NYKU9754021,1,111,385125,19256,Kilograms
20180101425,NYKU3786000,1,111,385125,19256,Kilograms
20180101425,NYKU9761801,1,111,385125,19256,Kilograms
20180101425,NYKU3842336,1,111,385125,19256,Kilograms
20180101425,TCLU7615480,1,111,385125,19256,Kilograms
20180101425,TRHU2132387,1,111,385125,19256,Kilograms
20180101425,TCLU6867018,1,111,385125,19256,Kilograms
20180101428,NYKU5194398,1,8249,6352,5318,Kilograms
20180101436,TEMU7559531,1,50,0,19913,Kilograms
20180101450,CAXU7440670,1,6190,0,19119,Kilograms
20180101458,FSCU6600700,1,842951,0,12540,Kilograms
20180101459,BMOU3060010,1,93,0,18298,Kilograms
20180101469,ZIMU2931491,1,6291,0,13750,Kilograms
20180101471,SUDU1448853,1,3918,3328,16644,Kilograms
20180101471,FCIU4277729,1,3918,3156,15783,Kilograms
20180101496,HASU5047542,1,8427,1551,7757,Kilograms
20180101502,HASU5164889,1,30,79,15399,Kilograms
20180101503,TCNU3497093,1,6913,3310,16560,Kilograms
20180101512,CCLU3927164,1,8239,0,8545,Kilograms
20180101512,CCLU3927164,1,6421,0,0,Kilograms
20180101517,TCNU8259992,1,19,1552,7764,Kilograms
20180101520,TGHU1637881,1,8481,588,2943,Kilograms
20180101522,MSKU6004210,1,,0,17193,Kilograms
20180101522,MRKU1033023,1,,0,17631,Kilograms
20180101534,DFSU1566510,1,8482,,700,Kilograms
20180101535,DFSU1566510,1,76,2488,1324,Kilograms
20180101536,MSCU7718104,1,90,0,0,Kilograms
20180101552,NYKU8494568,1,8471,0,9099,Kilograms
20180101562,CAIU8374138,1,93,0,6843,Kilograms
20180101573,TCLU9188258,1,4292,0,7170,Kilograms
20180101573,TCKU1044529,1,4292,0,3780,Kilograms
20180101584,TGHU3317486,1,6290,4262,21311,Kilograms
20180101593,TTNU1986842,1,6290,47,23039,Kilograms
20180101616,MAGU5252041,1,,0,6059,Kilograms
20180101629,CAIU6133574,1,13,0,20224,Kilograms
